id,title,seller_id,price,currency_id,initial_quantity,available_quantity,sold_quantity,condition,date_created,last_updated,start_time,stop_time
MLA1381082659,Tv Stick Realme 4k Smart Tv Stick Control De Voz 4k 8gb Negro Con 2gb De Memoria Ram,747830516,40999.0,ARS,10,1,1,new,2023-08-01T19:27:50.000Z,2023-08-05T02:36:13.000Z,2023-08-01T19:27:50.000Z,2043-07-27T04:00:00.000Z
MLA770517413,Google Chromecast 3 Gen Smart Tv Hdmi Full Hd Usb Netflix ,287054359,30220.0,ARS,1665,1,500,new,2019-02-11T17:38:45.000Z,2023-08-06T02:49:27.000Z,2019-02-11T17:38:45.000Z,2039-02-06T04:00:00.000Z
MLA1361366203,Google Chromecast With Google Tv Hd 8gb Snow 2gb Ram,148613909,38501.0,ARS,101,50,25,new,2023-03-04T12:03:24.000Z,2023-08-05T20:46:02.000Z,2023-03-04T12:03:24.000Z,2043-02-27T04:00:00.000Z
MLA1376024780,Google Chromecast 4k With Google Tv Control De Voz 8gb Snow,567813379,49400.0,ARS,47,1,5,new,2023-03-20T16:30:06.000Z,2023-08-06T00:54:31.000Z,2023-03-20T16:30:06.000Z,2043-03-15T04:00:00.000Z
MLA1140062618,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,257077964,86398.8,ARS,106,1,50,new,2022-06-01T11:48:56.000Z,2023-08-03T17:41:35.000Z,2022-06-01T11:48:56.000Z,2042-05-27T04:00:00.000Z
MLA781038431,Xiaomi Mi Tv Box S 2 Gb Ram 8 Gb 4k Control Remoto C/voz,318494504,48944.0,ARS,3355,100,500,new,2019-04-11T16:45:17.000Z,2023-08-06T02:17:26.534Z,2019-04-11T16:45:17.000Z,2039-04-16T18:49:32.000Z
MLA869897763,Xiaomi Mi Tv Stick Full Hd Android Chromecast Amazon Netflix,257077964,37582.95,ARS,419,1,250,new,2020-07-24T16:14:30.000Z,2023-08-06T02:45:35.361Z,2020-07-24T16:14:30.000Z,2041-10-21T14:53:45.000Z
MLA1366062917,Chromecast Google 4 Full Hd Google Tv Box 4ta Gen Streaming,541665065,37798.0,ARS,48,1,25,new,2023-04-15T14:23:14.000Z,2023-08-06T02:49:01.000Z,2023-04-15T14:23:14.000Z,2043-04-10T04:00:00.000Z
MLA1282385874,Chromecast 4 Smart Google Tv Hd Control Remoto Ga03131-us,701293922,37999.0,ARS,540,1,500,new,2022-12-15T17:12:02.000Z,2023-08-06T01:27:35.000Z,2022-12-15T17:12:02.000Z,2042-12-10T04:00:00.000Z
MLA1145079610,Google Chromecast 3.ª Generación Full Hd Carbón Hdmi,25679280,34999.99,ARS,2,1,1,new,2022-07-01T18:17:54.000Z,2023-08-05T13:28:51.000Z,2022-07-01T18:17:54.000Z,2042-06-26T04:00:00.000Z
MLA1168352455,Xiaomi Mi Tv Stick Mdz-24-aa De Voz Full Hd 8gb,220170708,41900.0,ARS,141,1,100,new,2022-09-14T16:00:13.000Z,2023-08-03T21:42:48.000Z,2022-09-14T16:00:13.000Z,2042-09-09T04:00:00.000Z
MLA1140062600,Xiaomi Mi Tv Stick 4k 8gb Ram 2gb Chromecast Netflix Amazon,257077964,45683.02,ARS,204,1,150,new,2022-06-01T11:46:28.000Z,2023-08-04T22:50:17.000Z,2022-06-01T11:46:28.000Z,2042-05-27T04:00:00.000Z
MLA1381141559,Chromecast Google Ga03131 Google Tv Hd 8gb Blanco Acuario,68286146,37799.0,ARS,64,50,1,new,2023-08-01T18:42:10.000Z,2023-08-05T22:23:05.157Z,2023-08-01T18:42:10.000Z,2043-07-27T04:00:00.000Z
MLA1121937411,Google Chromecast Google Tv De Voz 4k 8gb Cargador Original,247639927,58998.0,ARS,331,50,250,new,2022-02-03T00:07:05.000Z,2023-08-05T03:21:25.553Z,2022-02-03T00:07:04.000Z,2042-01-28T04:00:00.000Z
MLA1447492940,Google Chromecast 3.ª Generación Ga00439 - Carbón,227681028,33999.0,ARS,20,1,5,new,2023-07-11T14:46:50.000Z,2023-07-31T14:10:02.000Z,2023-07-11T14:46:50.000Z,2043-07-06T04:00:00.000Z
